Currently,,C,M,T,W,Xm,Xw,Y,Tot,,Cumulative,,C,M,T,W,Xm,Xw,Y,Tot,,Cumulative,,,,C,M,T,W,Xm,Xw,Y,Tot,,days,per day,
27-Jul,M06,0,1,0,0,0,0,0,24-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
1-Aug,C12,1,0,0,0,0,0,0,29-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
1-Aug,M01,0,1,0,0,0,0,0,29-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
1-Aug,M03,0,1,0,0,0,0,0,29-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
1-Aug,M10,0,1,0,0,0,0,0,29-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
1-Aug,Y04,0,0,0,0,0,0,1,29-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
2-Aug,W13,0,0,0,1,0,0,0,30-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
3-Aug,W08,0,0,0,1,0,0,0,31-Aug,,,,,Associated contact data and Lock number    ,,,Lock  ,,,,,,,,,,,,,,,,,,,,
3-Aug,W12,0,0,0,1,0,0,0,31-Aug,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
7-August,C04,1,0,0,0,0,0,0,4-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Aug,C20,1,0,0,0,0,0,0,5-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Aug,C24,1,0,0,0,0,0,0,5-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Aug,M19,0,1,0,0,0,0,0,5-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Aug,M25,0,1,0,0,0,0,0,5-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Aug,M32,0,1,0,0,0,0,0,5-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
8-Aug,W02,0,0,0,1,0,0,0,5-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
10-Aug,C05,1,0,0,0,0,0,0,7-Sep,,29-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
10-Aug,Y12,0,0,0,0,0,0,1,7-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
10-Aug,C13,1,0,0,0,0,0,0,7-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
14-Aug,XM08,0,0,0,0,1,0,0,11-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
15-Aug,C34,1,0,0,0,0,0,0,12-Sep,,29-Aug,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
15-Aug,Y16,0,0,0,0,0,0,1,12-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
15-Aug,C15,1,0,0,0,0,0,0,12-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
17-Aug,Y08,0,0,0,0,0,0,1,14-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
17-Aug,M26,0,1,0,0,0,0,0,14-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
17-Aug,Y09,0,0,0,0,0,0,1,14-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
17-Aug,Y11,0,0,0,0,0,0,1,14-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
17-Aug,XM03,0,0,0,0,1,0,0,14-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
17-Aug,W10,0,0,0,1,0,0,0,14-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Aug,W17,0,0,0,1,0,0,0,19-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Aug,C27,1,0,0,0,0,0,0,19-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Aug,W03,0,0,0,1,0,0,0,19-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
22-Aug,M04,0,1,0,0,0,0,0,19-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
23-Aug,M17,0,1,0,0,0,0,0,20-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
24-Aug,M07,0,1,0,0,0,0,0,21-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
24-Aug,M21,0,1,0,0,0,0,0,21-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
24-Aug,W09,0,0,0,1,0,0,0,21-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
24-Aug,C18,1,0,0,0,0,0,0,21-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
24-Aug,M18,0,1,0,0,0,0,0,21-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
24-Aug,Y13,0,0,0,0,0,0,1,21-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
29-Aug,Y01,0,0,0,0,0,0,1,26-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
29-Aug,C03,1,0,0,0,0,0,0,26-Sep,, ,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
29-Aug,M28,0,1,0,0,0,0,0,26-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
29-Aug,W15,0,0,0,1,0,0,0,26-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
29-Aug,XM02,0,0,0,0,1,0,0,26-Sep,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
29-Aug,M33,0,1,0,0,0,0,0,#REF!,,,,,Associated contact data and Lock number    ,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,27-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,27-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,27-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,27-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,27-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,27-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,27-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,27-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,27-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,27-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,27-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,27-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,27-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,27-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,27-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,27-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loaned,,38,72,15,35,8,3,45,,,,,,Returned,,27,3,1,1,6,2,6,,,,,,,,,,,,,,,
Returned,,26,53,13,25,3,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewed,,3,16,4,3,0,1,10,,,,,,, ,,,,,,, ,,, ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All bikes = StartAllBikes  + Received as donations- MIA -Scrap - Give-aways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""=StartofYearCounts!B4+AB2+AB3-AB4-AB5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Available =  All bikes -In Repair-In Test-On Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""        =             D6-D5-D3-D4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On loan= Start count on loan + loans -returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Renewals are entered as new loans, so renewals are a subset of loans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is one of a number of lines I had to delete because the link to a sharepoint file creates a #VALUE!  And ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-May,W12,0,0,0,1,0,0,0,6-Jun,,6-Jun,,,vclepine@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,
